date,forecast,lower80,upper80
2025-11-17,69,62.1,75.9
2025-11-18,65,58.5,71.5
2025-11-19,68,61.2,74.80000000000001
2025-11-20,62,55.800000000000004,68.2
2025-11-21,55,49.5,60.50000000000001
2025-11-22,38,34.2,41.800000000000004
2025-11-23,39,35.1,42.900000000000006
2025-11-24,69,62.1,75.9
2025-11-25,65,58.5,71.5
2025-11-26,68,61.2,74.80000000000001
2025-11-27,62,55.800000000000004,68.2
2025-11-28,55,49.5,60.50000000000001
2025-11-29,38,34.2,41.800000000000004
2025-11-30,39,35.1,42.900000000000006
2025-12-01,69,62.1,75.9
2025-12-02,65,58.5,71.5
2025-12-03,68,61.2,74.80000000000001
2025-12-04,62,55.800000000000004,68.2
2025-12-05,55,49.5,60.50000000000001
2025-12-06,38,34.2,41.800000000000004
2025-12-07,39,35.1,42.900000000000006
2025-12-08,69,62.1,75.9
2025-12-09,65,58.5,71.5
2025-12-10,68,61.2,74.80000000000001
2025-12-11,62,55.800000000000004,68.2
2025-12-12,55,49.5,60.50000000000001
2025-12-13,38,34.2,41.800000000000004
2025-12-14,39,35.1,42.900000000000006
2025-12-15,69,62.1,75.9
2025-12-16,65,58.5,71.5
