date,Airflow
2024-11-17,53
2024-11-24,51
2024-12-01,51
2024-12-08,50
2024-12-15,46
2024-12-22,40
2024-12-29,36
2025-01-05,51
2025-01-12,50
2025-01-19,50
2025-01-26,48
2025-02-02,50
2025-02-09,50
2025-02-16,53
2025-02-23,55
2025-03-02,52
2025-03-09,50
2025-03-16,53
2025-03-23,48
2025-03-30,52
2025-04-06,50
2025-04-13,51
2025-04-20,51
2025-04-27,49
2025-05-04,51
2025-05-11,51
2025-05-18,52
2025-05-25,46
2025-06-01,50
2025-06-08,54
2025-06-15,57
2025-06-22,54
2025-06-29,56
2025-07-06,56
2025-07-13,65
2025-07-20,61
2025-07-27,67
2025-08-03,82
2025-08-10,100
2025-08-17,93
2025-08-24,90
2025-08-31,92
2025-09-07,90
2025-09-14,85
2025-09-21,89
2025-09-28,83
2025-10-05,83
2025-10-12,85
2025-10-19,83
2025-10-26,85
2025-11-02,71
2025-11-09,52
2025-11-16,56
